ProDataCSV

Title: Mon Nov 11 13:01:29 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 28.19 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,3
Wavelength,Wavelength: 200nm - 260nm,Step Size: 1nm,Bandwidth: 1nm
204,656.57,657.791,660.233
203,674.103,675.491,676.407
202,694.107,694.366,694.26
201,711.99,710.327,713.837
200,741.302,741.913,744.934

Absorbance
Cell:,1
Wavelength,Repeat
,0,1,2,
260,0.119622,0.120703,0.121361
259,0.123049,0.12285,0.125121
258,0.124104,0.121903,0.125234
257,0.121069,0.121052,0.123556
256,0.122789,0.125206,0.123395
255,0.120365,0.124792,0.123346
254,0.124838,0.124271,0.127089
253,0.123246,0.123575,0.125092
252,0.125347,0.12747,0.127261
251,0.125066,0.125052,0.126155
250,0.125475,0.126566,0.1297
249,0.130055,0.130249,0.129083
248,0.128387,0.130882,0.130108
247,0.129804,0.130279,0.13186
246,0.130188,0.131386,0.133743
245,0.130224,0.130276,0.130945
244,0.1324,0.133681,0.133993
243,0.135705,0.13678,0.135664
242,0.137266,0.139581,0.138728
241,0.143293,0.140839,0.141692
240,0.143964,0.140641,0.141956
239,0.146793,0.145132,0.14925
238,0.150562,0.151657,0.152454
237,0.156116,0.156746,0.157747
236,0.160382,0.162738,0.163802
235,0.172424,0.170856,0.172283
234,0.178187,0.177232,0.178644
233,0.185639,0.187696,0.186157
232,0.195951,0.195548,0.195713
231,0.208046,0.20808,0.2056
230,0.21367,0.215781,0.216023
229,0.226786,0.226007,0.222894
228,0.234554,0.236027,0.234689
227,0.248401,0.248793,0.247561
226,0.255777,0.256981,0.254421
225,0.265151,0.262017,0.263648
224,0.274999,0.274519,0.273407
223,0.28886,0.285193,0.285971
222,0.303622,0.299261,0.298663
221,0.315667,0.313762,0.310682
220,0.325884,0.323183,0.321769
219,0.338616,0.339014,0.338125
218,0.355036,0.356586,0.353783
217,0.37108,0.370072,0.366981
216,0.383744,0.382244,0.380791
215,0.404111,0.403123,0.402542
214,0.423538,0.422922,0.418889
213,0.441,0.438505,0.437746
212,0.462131,0.45868,0.457148
211,0.48857,0.484824,0.483018
210,0.514755,0.511137,0.509627
209,0.54806,0.542375,0.541827
208,0.585054,0.579441,0.576641
207,0.626767,0.619615,0.617063
206,0.675604,0.668467,0.661832
205,0.730849,0.72426,0.718612
204,0.804549,0.795909,0.790809
203,0.885741,0.876415,0.872363
202,0.989529,0.977641,0.974159
201,1.11884,1.10637,1.10206
200,1.28123,1.2684,1.26025
Cell:,2
Wavelength,Repeat
,0,1,2,
260,0.0767814,0.0759726,0.0764968
259,0.0786905,0.0777899,0.078208
258,0.0771738,0.0774429,0.0767479
257,0.0748188,0.0747098,0.0750261
256,0.0743252,0.0753324,0.0744526
255,0.0745366,0.0760417,0.0764019
254,0.0779942,0.0783668,0.0776673
253,0.0760456,0.0748339,0.0750957
252,0.0769256,0.0783107,0.0778041
251,0.0748789,0.0774931,0.0742253
250,0.0770037,0.0766626,0.0753721
249,0.0794641,0.0794009,0.0775114
248,0.0778119,0.0807178,0.0791733
247,0.0804637,0.0796582,0.0788964
246,0.0797841,0.0795162,0.0805379
245,0.078347,0.0788557,0.0777258
244,0.081616,0.0806594,0.0801332
243,0.0842707,0.0821686,0.082138
242,0.0846203,0.0861416,0.0849724
241,0.0843279,0.0877626,0.0846671
240,0.0848605,0.0872505,0.0858804
239,0.089316,0.091696,0.0911278
238,0.0952134,0.0964251,0.096433
237,0.101133,0.100945,0.100344
236,0.105088,0.105386,0.106292
235,0.114521,0.113934,0.114782
234,0.121807,0.119812,0.120516
233,0.133326,0.131022,0.131094
232,0.140918,0.141236,0.141945
231,0.151034,0.15112,0.151754
230,0.159378,0.160277,0.161433
229,0.168791,0.169801,0.171209
228,0.180256,0.177437,0.180444
227,0.191507,0.191615,0.192871
226,0.200521,0.201318,0.201568
225,0.204582,0.206259,0.208125
224,0.215248,0.216116,0.216337
223,0.227276,0.228904,0.227972
222,0.239357,0.240062,0.242417
221,0.247944,0.251385,0.252598
220,0.257093,0.257224,0.261009
219,0.270472,0.269691,0.272665
218,0.284741,0.284563,0.286502
217,0.295183,0.296509,0.29638
216,0.306548,0.306822,0.308478
215,0.324554,0.327815,0.326315
214,0.336968,0.340281,0.342995
213,0.353905,0.353649,0.356286
212,0.370417,0.372153,0.37388
211,0.39565,0.394213,0.399091
210,0.417436,0.41644,0.418921
209,0.444306,0.446821,0.449579
208,0.476926,0.478724,0.484565
207,0.513013,0.511862,0.516734
206,0.548562,0.554338,0.559112
205,0.601189,0.608007,0.611741
204,0.668449,0.672363,0.675204
203,0.737103,0.741418,0.745416
202,0.828695,0.834532,0.841449
201,0.943771,0.947624,0.95713
200,1.08895,1.09339,1.10155

Voltage
Cell:,1
Wavelength,Repeat
,0,1,2,
260,7.96326,8.0383,7.97952
259,7.94832,8.0469,7.95846
258,7.89576,8.03062,7.92299
257,7.92819,8.02316,7.93072
256,7.89348,7.88686,7.93026
255,7.99467,7.86299,7.92953
254,8.07097,7.8976,7.88663
253,8.0536,7.91201,8.01647
252,8.03429,8.03799,7.996
251,7.95121,8.05673,7.99045
250,7.98131,7.9746,7.94078
249,7.91338,7.86571,7.96797
248,7.89254,7.85319,7.94812
247,7.86926,7.86654,7.91855
246,8.06307,7.82004,7.85771
245,7.99534,8.04963,7.84273
244,8.09567,7.97816,7.93931
243,8.00241,7.89001,7.87743
242,7.93536,7.98477,7.78446
241,7.90471,7.92852,7.99394
240,7.87363,7.98401,7.96263
239,7.93525,8.01088,7.82396
238,7.81177,8.05488,7.93974
237,7.9355,8.04052,7.87833
236,7.75856,7.96139,7.67098
235,7.93065,8.09733,7.92702
234,8.0035,8.08742,7.98067
233,7.9759,7.97299,7.97221
232,7.65821,7.97986,8.05068
231,8.03362,7.95824,7.99093
230,8.01527,7.67961,8.01317
229,7.9792,7.94503,8.00717
228,7.90473,7.98771,7.91936
227,7.94438,8.03924,8.02554
226,8.03775,7.99791,8.0452
225,7.94709,8.07119,8.02903
224,7.87513,7.96118,8.02942
223,7.86862,7.99586,8.10076
222,8.01188,8.007,7.98889
221,8.01749,7.99542,8.0538
220,8.0502,7.91162,8.03996
219,8.10334,7.88864,7.98953
218,8.02473,7.82724,7.94116
217,8.02479,7.88788,8.00663
216,8.0239,8.01732,7.96549
215,8.05125,7.94289,7.88422
214,8.01374,7.91467,7.966
213,8.04722,8.11173,7.92386
212,7.89605,8.1143,7.97699
211,7.96342,8.11499,7.98101
210,7.92106,8.03613,7.98794
209,7.81639,8.00724,8.00044
208,7.88035,7.99375,7.9469
207,7.88554,7.97994,7.9987
206,7.84619,7.91472,7.96904
205,8.05599,8.04309,8.02396
204,8.08184,7.9546,7.97769
203,8.05617,7.97912,7.76628
202,8.05357,8.02167,8.00683
201,7.71094,8.03373,8.00007
200,7.80121,7.90901,7.86797
Cell:,2
Wavelength,Repeat
,0,1,2,
260,7.98606,8.04934,8.03296
259,7.9356,8.06408,7.98784
258,7.92994,7.97001,8.12795
257,8.0871,7.99719,8.1367
256,8.00419,7.92225,8.18074
255,7.99866,7.96266,8.06422
254,7.96061,7.94548,8.14305
253,7.95,7.96388,7.98073
252,7.88679,7.91966,7.88081
251,7.89842,7.90892,7.92032
250,7.87503,7.96093,7.91466
249,7.8462,7.92671,7.89152
248,8.02604,7.90164,7.99927
247,7.98294,7.92339,7.94392
246,8.02777,7.89925,7.88727
245,7.91693,7.84548,8.02015
244,7.96444,8.05689,8.03243
243,7.83142,7.99708,7.9637
242,7.78751,7.88616,7.87387
241,8.0774,7.82406,8.04244
240,8.06499,8.02229,7.94074
239,7.9765,7.99025,7.96036
238,8.08575,8.05866,7.80882
237,7.88145,7.99653,8.00761
236,8.07088,8.12209,8.01949
235,8.05253,7.91175,8.06182
234,8.01202,8.1507,8.12652
233,7.89068,7.82566,8.06207
232,8.01114,8.00782,8.0568
231,8.11446,8.02641,8.00498
230,7.97838,8.01224,7.81809
229,7.9688,8.03703,8.05816
228,7.97115,8.10425,8.0548
227,8.07321,8.07016,8.03545
226,7.97901,7.76153,8.06166
225,8.02822,8.04385,8.03834
224,7.96909,7.95695,8.03381
223,7.97741,8.04002,8.08273
222,8.02058,7.78294,8.08468
221,8.02452,7.98154,8.00328
220,8.04997,8.02773,8.03833
219,8.00459,7.96781,8.07866
218,7.74454,8.02589,8.12093
217,8.02443,7.96252,8.02783
216,7.90826,8.04616,8.05623
215,8.03924,7.88006,8.05992
214,8.03839,8.01373,8.02819
213,7.95143,8.0106,8.10655
212,7.96453,7.93896,8.06782
211,7.91747,8.00051,8.07026
210,7.94086,8.04224,8.09698
209,8.06527,7.93028,7.98155
208,8.04701,7.95889,7.92893
207,8.01021,7.91978,7.85102
206,8.10959,7.89475,7.96499
205,7.91861,7.86899,7.97078
204,7.82574,7.85616,8.0049
203,7.93515,7.95445,7.94543
202,8.10919,8.03097,7.89189
201,8.05307,7.82933,7.97487
200,7.9892,7.94936,8.00314

Count
Cell:,1
Wavelength,Repeat
,0,1,2,
260,20000,20000,20000
259,20000,20000,20000
258,20000,20000,20000
257,20000,20000,20000
256,20000,20000,20000
255,20000,20000,20000
254,20000,20000,20000
253,20000,20000,20000
252,20000,20000,20000
251,20000,20000,20000
250,20000,20000,20000
249,20000,20000,20000
248,20000,20000,20000
247,20000,20000,20000
246,20000,20000,20000
245,20000,20000,20000
244,20000,20000,20000
243,20000,20000,20000
242,20000,20000,20000
241,20000,20000,20000
240,20000,20000,20000
239,20000,20000,20000
238,20000,20000,20000
237,20000,20000,20000
236,20000,20000,20000
235,20000,20000,20000
234,20000,20000,20000
233,20000,20000,20000
232,20000,20000,20000
231,20000,20000,20000
230,20000,20000,20000
229,20000,20000,20000
228,20000,20000,20000
227,20000,20000,20000
226,20000,20000,20000
225,20000,20000,20000
224,20000,20000,20000
223,20000,20000,20000
222,20000,20000,20000
221,20000,20000,20000
220,20000,20000,20000
219,20000,20000,20000
218,20000,20000,20000
217,20000,20000,20000
216,20000,20000,20000
215,20000,20000,20000
214,20000,20000,20000
213,20000,20000,20000
212,20000,20000,20000
211,20000,20000,20000
210,20000,20000,20000
209,20000,20000,20000
208,20000,20000,20000
207,20000,20000,20000
206,20000,20000,20000
205,20000,20000,20000
204,20000,20000,20000
203,20000,20000,20000
202,20000,20000,20000
201,20000,20000,20000
200,20000,20000,20000
Cell:,2
Wavelength,Repeat
,0,1,2,
260,20000,20000,20000
259,20000,20000,20000
258,20000,20000,20000
257,20000,20000,20000
256,20000,20000,20000
255,20000,20000,20000
254,20000,20000,20000
253,20000,20000,20000
252,20000,20000,20000
251,20000,20000,20000
250,20000,20000,20000
249,20000,20000,20000
248,20000,20000,20000
247,20000,20000,20000
246,20000,20000,20000
245,20000,20000,20000
244,20000,20000,20000
243,20000,20000,20000
242,20000,20000,20000
241,20000,20000,20000
240,20000,20000,20000
239,20000,20000,20000
238,20000,20000,20000
237,20000,20000,20000
236,20000,20000,20000
235,20000,20000,20000
234,20000,20000,20000
233,20000,20000,20000
232,20000,20000,20000
231,20000,20000,20000
230,20000,20000,20000
229,20000,20000,20000
228,20000,20000,20000
227,20000,20000,20000
226,20000,20000,20000
225,20000,20000,20000
224,20000,20000,20000
223,20000,20000,20000
222,20000,20000,20000
221,20000,20000,20000
220,20000,20000,20000
219,20000,20000,20000
218,20000,20000,20000
217,20000,20000,20000
216,20000,20000,20000
215,20000,20000,20000
214,20000,20000,20000
213,20000,20000,20000
212,20000,20000,20000
211,20000,20000,20000
210,20000,20000,20000
209,20000,20000,20000
208,20000,20000,20000
207,20000,20000,20000
206,20000,20000,20000
205,20000,20000,20000
204,20000,20000,20000
203,20000,20000,20000
202,20000,20000,20000
201,20000,20000,20000
200,20000,20000,20000

SE
Cell:,1
Wavelength,Repeat
,0,1,2,
260,0.106132,0.118324,0.115224
259,0.114192,0.106895,0.118259
258,0.111993,0.108536,0.111426
257,0.104271,0.110806,0.107014
256,0.12203,0.103376,0.106533
255,0.104435,0.114961,0.110624
254,0.113077,0.107979,0.11358
253,0.117691,0.107743,0.101183
252,0.120233,0.113153,0.108482
251,0.104458,0.111343,0.108718
250,0.107377,0.111869,0.108728
249,0.110084,0.112746,0.110273
248,0.113389,0.107708,0.113805
247,0.123162,0.116955,0.120649
246,0.105269,0.105788,0.105836
245,0.11634,0.108292,0.119416
244,0.115354,0.118796,0.121582
243,0.112453,0.11146,0.116293
242,0.115727,0.118011,0.10733
241,0.115322,0.116518,0.116795
240,0.111748,0.116285,0.117231
239,0.108451,0.121059,0.112475
238,0.114659,0.119032,0.123806
237,0.123377,0.117864,0.133035
236,0.116122,0.121053,0.126321
235,0.116378,0.134369,0.130086
234,0.112521,0.116865,0.118513
233,0.123081,0.129539,0.14461
232,0.136761,0.123537,0.128872
231,0.135307,0.14053,0.133769
230,0.14336,0.129684,0.142501
229,0.140488,0.137791,0.143078
228,0.145274,0.147723,0.143405
227,0.139309,0.143032,0.131
226,0.148815,0.14493,0.136539
225,0.14633,0.152296,0.157703
224,0.139515,0.148784,0.148824
223,0.164711,0.152692,0.165385
222,0.17418,0.162065,0.157471
221,0.160147,0.162669,0.138959
220,0.167685,0.161839,0.166936
219,0.157688,0.161995,0.169253
218,0.167174,0.169106,0.148295
217,0.169038,0.172683,0.171002
216,0.171785,0.171975,0.164487
215,0.17595,0.173971,0.157185
214,0.164221,0.182545,0.170599
213,0.17759,0.175104,0.19469
212,0.206246,0.181165,0.169652
211,0.173622,0.188095,0.17295
210,0.198899,0.19263,0.209347
209,0.190948,0.192736,0.187546
208,0.201952,0.2109,0.200474
207,0.217467,0.218274,0.225716
206,0.211151,0.221516,0.228633
205,0.241417,0.278049,0.222274
204,0.256263,0.260486,0.246075
203,0.285946,0.26246,0.277792
202,0.284282,0.306679,0.307868
201,0.33509,0.391575,0.421246
200,0.461548,0.394904,0.454274
Cell:,2
Wavelength,Repeat
,0,1,2,
260,0.108423,0.10961,0.107764
259,0.103061,0.0957865,0.102253
258,0.101239,0.110013,0.105039
257,0.10365,0.105597,0.0986265
256,0.109813,0.107319,0.114611
255,0.106799,0.113134,0.108502
254,0.108262,0.0936536,0.108767
253,0.10387,0.109274,0.109373
252,0.110019,0.11176,0.113857
251,0.10872,0.104063,0.102315
250,0.113569,0.105452,0.102242
249,0.113079,0.11127,0.10839
248,0.109879,0.113544,0.10834
247,0.114722,0.12393,0.102346
246,0.0997996,0.102987,0.110626
245,0.102896,0.109037,0.100448
244,0.109651,0.112065,0.1087
243,0.106863,0.111019,0.115237
242,0.107617,0.106579,0.113786
241,0.11576,0.106245,0.124033
240,0.106764,0.106184,0.118482
239,0.106738,0.10642,0.114758
238,0.113717,0.109799,0.103391
237,0.124161,0.117202,0.13439
236,0.113884,0.119807,0.110634
235,0.118474,0.12386,0.118392
234,0.118506,0.107781,0.120027
233,0.123884,0.121823,0.124041
232,0.133466,0.131469,0.123682
231,0.120422,0.120831,0.117175
230,0.135446,0.133161,0.135368
229,0.132767,0.134197,0.131403
228,0.157161,0.138286,0.14092
227,0.133913,0.145298,0.139421
226,0.131196,0.150695,0.141624
225,0.143753,0.139209,0.129854
224,0.140783,0.154817,0.133114
223,0.148031,0.151139,0.165239
222,0.147157,0.147044,0.164056
221,0.13549,0.140158,0.159547
220,0.166132,0.15303,0.162533
219,0.161526,0.154515,0.152774
218,0.143151,0.155186,0.15175
217,0.152834,0.158013,0.166301
216,0.164169,0.163225,0.168693
215,0.143061,0.166488,0.148003
214,0.169467,0.156699,0.169616
213,0.16653,0.168527,0.162922
212,0.160727,0.167178,0.172873
211,0.178717,0.16858,0.159467
210,0.173858,0.188472,0.190644
209,0.171496,0.183174,0.176775
208,0.175366,0.196463,0.181032
207,0.182536,0.221615,0.203368
206,0.185677,0.214772,0.22614
205,0.200036,0.195645,0.220483
204,0.219017,0.227372,0.225622
203,0.241554,0.223662,0.226031
202,0.257659,0.242135,0.278755
201,0.308627,0.305468,0.33648
200,0.366933,0.327465,0.357401

Temperature
Cell:,1
Wavelength,Repeat
,0,1,2,
260,28.1852,28.1356,28.1356
259,28.1852,28.1356,28.1356
258,28.1852,28.1852,28.1356
257,28.1852,28.1852,28.1356
256,28.1852,28.1852,28.1356
255,28.1852,28.1356,28.1356
254,28.1356,28.1356,28.1356
253,28.1852,28.1852,28.1356
252,28.1852,28.1852,28.1356
251,28.1852,28.1356,28.1356
250,28.2348,28.1356,28.1356
249,28.1356,28.1852,28.1356
248,28.1852,28.1852,28.1356
247,28.1852,28.1356,28.1356
246,28.1852,28.1852,28.1356
245,28.1852,28.1356,28.1356
244,28.1852,28.1356,28.1356
243,28.1852,28.1356,28.1356
242,28.1852,28.1356,28.1356
241,28.1852,28.1852,28.1356
240,28.1356,28.1852,28.1356
239,28.1852,28.1852,28.1356
238,28.1852,28.1356,28.1356
237,28.1852,28.1356,28.1356
236,28.1852,28.1852,28.1356
235,28.1356,28.1356,28.1356
234,28.1852,28.1356,28.1356
233,28.1852,28.1356,28.1852
232,28.1852,28.1852,28.086
231,28.1852,28.1356,28.1356
230,28.1852,28.1356,28.1356
229,28.1852,28.1356,28.1356
228,28.1852,28.1356,28.1356
227,28.1852,28.1852,28.086
226,28.1356,28.1356,28.1356
225,28.1356,28.1852,28.1356
224,28.1356,28.1356,28.086
223,28.1852,28.1852,28.1356
222,28.1852,28.1852,28.1356
221,28.1852,28.1356,28.1356
220,28.1852,28.1852,28.1356
219,28.1852,28.1356,28.1356
218,28.1852,28.1852,28.1356
217,28.1852,28.1356,28.1356
216,28.1852,28.1356,28.1356
215,28.1852,28.1356,28.086
214,28.1852,28.1852,28.1356
213,28.1852,28.1356,28.1356
212,28.1852,28.1356,28.1356
211,28.1852,28.1356,28.1356
210,28.1852,28.1356,28.1356
209,28.1852,28.1356,28.1356
208,28.1852,28.1852,28.1356
207,28.1852,28.1852,28.1356
206,28.1852,28.1356,28.1356
205,28.1356,28.1356,28.1356
204,28.1852,28.1356,28.1356
203,28.1356,28.1356,28.086
202,28.1852,28.1356,28.1356
201,28.1852,28.1852,28.086
200,28.1356,28.1356,28.1356
Cell:,2
Wavelength,Repeat
,0,1,2,
